algorithm,difficulty,puzzle,constraint checks,assignments,backtracks,inferences,decisions,restarts,generations
bt,easy,Easy-P1,7507.0,150,102,0,0,0,0
bt,easy,Easy-P2,37350.0,678,633,0,0,0,0
bt,easy,Easy-P3,22853.0,407,360,0,0,0,0
bt,easy,Easy-P4,6343.0,132,87,0,0,0,0
bt,medium,Med-P1,37291.0,677,626,0,0,0,0
bt,medium,Med-P2,405208.0,6888,6838,0,0,0,0
bt,medium,Med-P3,83505.0,1511,1458,0,0,0,0
bt,medium,Med-P4,60061.0,1057,1005,0,0,0,0
bt,hard,Hard-P1,271188.0,4836,4783,0,0,0,0
bt,hard,Hard-P2,1106095.0,19895,19842,0,0,0,0
bt,hard,Hard-P3,215588.0,3950,3897,0,0,0,0
bt,hard,Hard-P4,186922.0,3166,3113,0,0,0,0
bt,extreme,Evil-P1,164551.0,2978,2923,0,0,0,0
bt,extreme,Evil-P2,106455.0,1897,1841,0,0,0,0
bt,extreme,Evil-P3,254200.0,4376,4321,0,0,0,0
bt,extreme,Evil-P4,3032.0,71,26,0,0,0,0
fc,easy,Easy-P1,6777.0,150,102,834,0,0,0
fc,easy,Easy-P2,33808.0,678,633,4341,0,0,0
fc,easy,Easy-P3,18653.0,407,360,2047,0,0,0
fc,easy,Easy-P4,6449.0,132,87,752,0,0,0
fc,medium,Med-P1,28710.0,677,626,4509,0,0,0
fc,medium,Med-P2,327256.0,6874,6824,37378,0,0,0
fc,medium,Med-P3,72240.0,1509,1456,9554,0,0,0
fc,medium,Med-P4,52305.0,1057,1005,5963,0,0,0
fc,hard,Hard-P1,220853.0,4836,4783,27749,0,0,0
fc,hard,Hard-P2,881294.0,19314,19261,95740,0,0,0
fc,hard,Hard-P3,187585.0,3950,3897,24923,0,0,0
fc,hard,Hard-P4,151612.0,3166,3113,18890,0,0,0
fc,extreme,Evil-P1,131076.0,2978,2923,20981,0,0,0
fc,extreme,Evil-P2,86901.0,1859,1803,9956,0,0,0
fc,extreme,Evil-P3,182024.0,4376,4321,23920,0,0,0
fc,extreme,Evil-P4,3165.0,71,26,346,0,0,0
ac3,easy,Easy-P1,117987.0,48,0,376,0,0,0
ac3,easy,Easy-P2,173634.0,48,3,786,0,0,0
ac3,easy,Easy-P3,124192.0,47,0,368,0,0,0
ac3,easy,Easy-P4,135521.0,46,1,671,0,0,0
ac3,medium,Med-P1,196245.0,55,4,465,0,0,0
ac3,medium,Med-P2,203370.0,53,3,755,0,0,0
ac3,medium,Med-P3,169323.0,53,0,416,0,0,0
ac3,medium,Med-P4,147390.0,52,0,408,0,0,0
ac3,hard,Hard-P1,300825.0,68,15,867,0,0,0
ac3,hard,Hard-P2,762617.0,107,54,2334,0,0,0
ac3,hard,Hard-P3,280337.0,57,4,935,0,0,0
ac3,hard,Hard-P4,285397.0,64,11,686,0,0,0
ac3,extreme,Evil-P1,221731.0,73,18,1551,0,0,0
ac3,extreme,Evil-P2,236647.0,58,2,476,0,0,0
ac3,extreme,Evil-P3,230226.0,57,2,497,0,0,0
ac3,extreme,Evil-P4,,45,0,352,0,0,0
sa,easy,Easy-P1,,0,0,0,6699,6699,0
sa,easy,Easy-P2,,0,0,0,2730,2730,0
sa,easy,Easy-P3,,0,0,0,12224,12224,0
sa,easy,Easy-P4,,0,0,0,2980,0,0
sa,medium,Med-P1,,0,0,0,3670,3670,0
sa,medium,Med-P2,,0,0,0,11673,11673,0
sa,medium,Med-P3,,0,0,0,10477,10477,0
ga,easy,Easy-P1,,0,0,0,0,0,10000
ga,easy,Easy-P2,,0,0,0,0,0,10000
ga,easy,Easy-P3,,0,0,0,0,0,10000
ga,easy,Easy-P4,,0,0,0,0,0,10000
ga,medium,Med-P1,,0,0,0,0,0,10000
ga,medium,Med-P2,,0,0,0,0,0,10000
ga,medium,Med-P3,,0,0,0,0,0,10000
ga,medium,Med-P4,,0,0,0,0,0,10000
ga,hard,Hard-P1,,0,0,0,0,0,10000
ga,hard,Hard-P2,,0,0,0,0,0,10000
ga,hard,Hard-P3,,0,0,0,0,0,10000
ga,hard,Hard-P4,,0,0,0,0,0,10000
ga,extreme,Evil-P1,,0,0,0,0,0,10000
ga,extreme,Evil-P2,,0,0,0,0,0,10000
ga,extreme,Evil-P3,,0,0,0,0,0,10000
ga,extreme,Evil-P4,,0,0,0,0,0,2652
